"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" sobremesa"," diversos. bebidas"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," manteiga"," iogurte"," bebidas"," queijo fatiado"," cereais"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," chantilly/creme de leite"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada"," lanche de nozes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" queijo especial"," sabão","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," vegetais congelados"," sobremesa congelada"," sopas","refrigerante"," guardanapos"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas"," chocolate"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," pão semiacabado"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," clínica de cuidado de animais domésticos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peru"," frutas/legumes embalados"," Soro de leite coalhado"," Leite UHT"," pãezinhos/pãezinhos"," zwieback"," água engarrafada"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," outros vegetais"," pão branco"," pão integral"," produtos em rolo"," Margarina"," café"," suco de frutas/vegetais"," xarope","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," iogurte"," óleo"," água engarrafada"," cerveja engarrafada"," cosméticos masculinos","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão de fígado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Queijo processado"," pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," outros vegetais"," frutas/legumes embalados"," comida de cão","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," manteiga"," chantilly/creme de leite"," Refeições congeladas"," peixe congelado"," pãezinhos/pãezinhos"," pastelaria"," peixe enlatado"," comida de gato"," waffles"," chocolate"," sacolas de compras","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," Margarina","refrigerante"," produto de panificação longa vida"," waffles"," chocolate especial"," detergente"," limpador de louça"," artigos de higiene"," produtos para manutenção da casa"," solo/fertilizante para flores","","","","","","","","","","","","","","","","","","","","",""
" frango"," outros vegetais"," bebidas"," especiarias"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," citrino"," leite inteiro"," Queijo processado"," café","refrigerante"," suco de frutas/vegetais"," cerveja em lata"," vinho branco"," doce"," sacolas de compras","","","","","","","","","","","","","","","","","","","","",""
" licor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bagas"," iogurte"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," Leite UHT"," ovos domésticos"," pão branco","refrigerante"," barra de bolo","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," vegetais de raiz"," manteiga"," óleo"," legumes em conserva"," cerveja engarrafada"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," pastelaria"," Fruta enlatada"," chocolate"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," bagas"," leite inteiro"," chantilly/creme de leite"," pão branco"," suco de frutas/vegetais"," produto de panificação longa vida"," waffles"," limpador abrasivo","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa"," pãezinhos/pãezinhos"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," fruta pipa"," chá"," cerveja engarrafada"," vinho branco","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão branco","refrigerante"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," citrino"," iogurte"," queijo duro"," Refeições congeladas","refrigerante"," suco de frutas/vegetais"," guardanapos"," jornais","","","","","","","","","","","","","","","","","","","","","",""
" sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," vegetais de raiz"," ervas"," vegetais congelados"," suco de frutas/vegetais"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta pipa"," outros vegetais"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," manteiga"," vegetais congelados"," fermento em pó","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" produtos de batata congelados"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," bebidas"," pastelaria"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne bovina"," outros vegetais"," chocolate"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," Leite UHT"," ovos domésticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","refrigerante"," barra de especialidades"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," cerveja em lata"," chocolate"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," coalhada","refrigerante"," cerveja engarrafada"," filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," diversos. bebidas"," lanche salgado"," produto de panificação longa vida"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," óleo"," fermento em pó"," doce"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," peixe enlatado"," cerveja engarrafada"," limpador abrasivo"," limpador","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" óleo"," doce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne de hambúrguer"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," chantilly/creme de leite"," produtos em rolo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais enlatados"," produtos sanitários femininos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," citrino"," vegetais de raiz"," outros vegetais"," leite inteiro"," iogurte"," ovos domésticos"," pastelaria"," pão semiacabado"," sal"," açúcar"," pastas doces","refrigerante"," suco de frutas/vegetais"," vinho tinto/blush","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," leite inteiro"," Soro de leite coalhado"," arroz"," óleo"," Fruta enlatada"," água engarrafada"," vinho branco"," Pipoca"," artigos de higiene"," sacolas de compras","","","","","","","","","","","","","","","","","","","",""
" salsicha"," citrino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," sobremesa"," Soro de leite coalhado"," iogurte"," Requeijão cremoso"," legumes em conserva","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
